unit: Mev
spectrum:
4.14e-7 3.10e-7
1.00e-6 1.11e-6
1.00e-5 1.27e-7
5.00e-5 2.76e-7
1.00e-4 7.82e-7
2.00e-4 2.21e-6
4.00e-4 4.53e-6
7.00e-4 5.68e-6
1.00e-3 5.51e-5
3.00e-3 1.28e-4
6.00e-3 2.30e-4
1.00e-2 7.74e-4
2.00e-2 2.17e-3
4.00e-2 2.80e-3
6.00e-2 3.29e-3
8.00e-2 3.68e-3
1.00e-1 1.05e-2
1.50e-1 1.21e-2
2.00e-1 1.33e-2
2.50e-1 1.42e-2
3.00e-1 1.49e-2
3.50e-1 1.55e-2
4.00e-1 1.60e-2
4.50e-1 1.63e-2
5.00e-1 1.66e-2
5.50e-1 1.68e-2
6.00e-1 3.38e-2
7.00e-1 3.39e-2
8.00e-1 3.37e-2
9.00e-1 3.33e-2
1.00 6.46e-2
1.20 6.12e-2
1.40 5.73e-2
1.60 5.31e-2
1.80 4.88e-2
2.00 6.55e-2
2.30 5.67e-2
2.60 6.33e-2
3.00 6.21e-2
3.50 4.68e-2
4.00 3.49e-2
4.50 2.58e-2
5.00 3.30e-2
6.00 1.74e-2
7.00 9.01e-3
8.00 4.61e-3
9.00 2.33e-3
10.0 1.17e-3
11.0 5.83e-4
12.0 2.88e-4
13.0 1.42e-4
14.0 6.94e-5
	


